date,keyword,interest
2016-11-12,Joe Rogan,31
2016-11-19,Joe Rogan,23
2016-11-26,Joe Rogan,26
2016-12-03,Joe Rogan,25
2016-12-10,Joe Rogan,23
2016-12-17,Joe Rogan,24
2016-12-24,Joe Rogan,34
2016-12-31,Joe Rogan,37
2017-01-07,Joe Rogan,26
2017-01-14,Joe Rogan,27
2017-01-21,Joe Rogan,27
2017-01-28,Joe Rogan,42
2017-02-04,Joe Rogan,37
2017-02-11,Joe Rogan,41
2017-02-18,Joe Rogan,44
2017-02-25,Joe Rogan,35
2017-03-04,Joe Rogan,34
2017-03-11,Joe Rogan,34
2017-03-18,Joe Rogan,32
2017-03-25,Joe Rogan,28
2017-04-01,Joe Rogan,29
2017-04-08,Joe Rogan,30
2017-04-15,Joe Rogan,30
2017-04-22,Joe Rogan,29
2017-04-29,Joe Rogan,29
2017-05-06,Joe Rogan,30
2017-05-13,Joe Rogan,39
2017-05-20,Joe Rogan,34
2017-05-27,Joe Rogan,33
2017-06-03,Joe Rogan,34
2017-06-10,Joe Rogan,33
2017-06-17,Joe Rogan,32
2017-06-24,Joe Rogan,34
2017-07-01,Joe Rogan,28
2017-07-08,Joe Rogan,34
2017-07-15,Joe Rogan,30
2017-07-22,Joe Rogan,32
2017-07-29,Joe Rogan,55
2017-08-05,Joe Rogan,37
2017-08-12,Joe Rogan,37
2017-08-19,Joe Rogan,33
2017-08-26,Joe Rogan,41
2017-09-02,Joe Rogan,32
2017-09-09,Joe Rogan,31
2017-09-16,Joe Rogan,29
2017-09-23,Joe Rogan,28
2017-09-30,Joe Rogan,29
2017-10-07,Joe Rogan,32
2017-10-14,Joe Rogan,31
2017-10-21,Joe Rogan,36
2017-10-28,Joe Rogan,34
2017-11-04,Joe Rogan,40
2017-11-11,Joe Rogan,42
2017-11-18,Joe Rogan,33
2017-11-25,Joe Rogan,35
2017-12-02,Joe Rogan,38
2017-12-09,Joe Rogan,35
2017-12-16,Joe Rogan,36
2017-12-23,Joe Rogan,33
2017-12-30,Joe Rogan,35
2018-01-06,Joe Rogan,32
2018-01-13,Joe Rogan,37
2018-01-20,Joe Rogan,39
2018-01-27,Joe Rogan,34
2018-02-03,Joe Rogan,31
2018-02-10,Joe Rogan,40
2018-02-17,Joe Rogan,38
2018-02-24,Joe Rogan,37
2018-03-03,Joe Rogan,36
2018-03-10,Joe Rogan,36
2018-03-17,Joe Rogan,33
2018-03-24,Joe Rogan,33
2018-03-31,Joe Rogan,42
2018-04-07,Joe Rogan,37
2018-04-14,Joe Rogan,35
2018-04-21,Joe Rogan,36
2018-04-28,Joe Rogan,34
2018-05-05,Joe Rogan,33
2018-05-12,Joe Rogan,40
2018-05-19,Joe Rogan,37
2018-05-26,Joe Rogan,46
2018-06-02,Joe Rogan,53
2018-06-09,Joe Rogan,47
2018-06-16,Joe Rogan,43
2018-06-23,Joe Rogan,48
2018-06-30,Joe Rogan,45
2018-07-07,Joe Rogan,57
2018-07-14,Joe Rogan,46
2018-07-21,Joe Rogan,44
2018-07-28,Joe Rogan,45
2018-08-04,Joe Rogan,51
2018-08-11,Joe Rogan,44
2018-08-18,Joe Rogan,45
2018-08-25,Joe Rogan,43
2018-09-01,Joe Rogan,100
2018-09-08,Joe Rogan,82
2013-09-21,Abby Martin,11
2013-09-28,Abby Martin,13
2013-10-05,Abby Martin,8
2013-10-12,Abby Martin,7
2013-10-19,Abby Martin,7
2013-10-26,Abby Martin,7
2013-11-02,Abby Martin,9
2013-11-09,Abby Martin,9
2013-11-16,Abby Martin,7
2013-11-23,Abby Martin,7
2013-11-30,Abby Martin,5
2013-12-07,Abby Martin,4
2013-12-14,Abby Martin,7
2013-12-21,Abby Martin,8
2013-12-28,Abby Martin,5
2014-01-04,Abby Martin,6
2014-01-11,Abby Martin,9
2014-01-18,Abby Martin,9
2014-01-25,Abby Martin,5
2014-02-01,Abby Martin,4
2014-02-08,Abby Martin,5
2014-02-15,Abby Martin,5
2014-02-22,Abby Martin,7
2014-03-01,Abby Martin,100
2014-03-08,Abby Martin,17
2014-03-15,Abby Martin,21
2014-03-22,Abby Martin,10
2014-03-29,Abby Martin,8
2014-04-05,Abby Martin,7
2014-04-12,Abby Martin,9
2014-04-19,Abby Martin,6
2014-04-26,Abby Martin,9
2014-05-03,Abby Martin,6
2014-05-10,Abby Martin,13
2014-05-17,Abby Martin,7
2014-05-24,Abby Martin,6
